834,834,834,834,834,834,834,834,834,834,,834,,832
SN,TP ID,Project ref,Region,Project type,Customer,Technology ,RFI date,RFI Year,Updated status ,Updated status as at 30-Jan-23,Next Task Pending with,Next Task Pending with as at 30-Jan-23,SBC
1,IHS_ABJ_1573H,UC-201625,Abuja,Upgrade/Colo,Airtel,FE,08-Feb-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,Demfy Integrated Services Limited
2,IHS_ABJ_1593H,UC-201618,Abuja,Upgrade/Colo,Airtel,FE,08-Feb-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,Demfy Integrated Services Limited
3,IHS_ABJ_1161A,CO-200196,Abuja,Upgrade/Colo,Airtel,2G,18-Feb-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,TOTAL SECURE NIGERIA LIMITED
4,IHS_EDO_0857A,UC-198394,Asaba,Upgrade/Colo,MTN,MLLH,24-Feb-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,EZZENTIAL GLOBAL SERVICES
5,IHS_BAU_0776A,CO-205706,Kano,Upgrade/Colo,Airtel,2G,28-Mar-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,JARUS IMPERIAL NIGERIA LIMITED
6,IHS_KEB_0841H,CO-209374,Kano,Consolidation,9Mobile,2G,29-Mar-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,FARALIM GLOBAL SERVICES NIGERIA LIMITED
7,IHS_OND_0879A,UC-198410,Ibadan,Upgrade/Colo,MTN,MLLH,01-Apr-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,GLOVTEX TELECOMMUNICATION LIMITED
8,IHS_ABJ_0982A,CO-206211,Abuja,Upgrade/Colo,Spectranet,LTE,23-Apr-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,JARUS IMPERIAL NIGERIA LIMITED
9,IHS_LAG_3870H,CO-200170,Lagos,Upgrade/Colo,Airtel,2G,09-May-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,IENGINEERING NIGERIA LIMITED
10,IHS_KAT_0775A,UC-196423,Kano,Upgrade/Colo,Airtel,LTE 900,07-May-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,AR-SAEED INTERNATIONAL SERVICES LIMITED
11,IHS_KAT_0933H,UC-196441,Kano,Upgrade/Colo,Airtel,LTE 900,07-May-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,AR-SAEED INTERNATIONAL SERVICES LIMITED
12,IHS_RIV_1008A,UC-207349,PHC,Upgrade/Colo,MTN,5G,09-May-22,H1 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,SNOWVIEW SUPPORT SERVICE LIMITED
13,IHS_ONT_0049B,CO-210025,Asaba,Consolidation,9Mobile,2G,28-May-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,CENTDOOR LIMITED
14,IHS_CRR_0771A,CO-210018,PHC,Consolidation,9Mobile,2G,31-May-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,EDGWARE CONCEPTS  LIMITED
15,IHS_PLA_0721E,CO-212927,Abuja,Upgrade/Colo,Airtel,2G,04-Jun-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,JARUS IMPERIAL NIGERIA LIMITED
16,IHS_ABJ_1573H,UC-208940,Abuja,Upgrade/Colo,Airtel,MW,04-Jun-22,H1 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,JARUS IMPERIAL NIGERIA LIMITED
